"","osm_id","osm_user","osm_uid","osm_version","osm_changeset","osm_timestamp","access","addr:housename","addr:housenumber","addr:place","addr:city","addr:country","addr:interpolation","admin_level","aerialway","aeroway","amenity","area","barrier","bicycle","brand","bridge","boundary","building","construction","covered","culvert","cutting","denomination","disused","embankment","foot","generator:source","harbour","highway","historic","horse","intermittent","junction","landuse","layer","leisure","lock","man_made","military","motorcar","name","natural","office","oneway","operator","place","population","power","power_source","public_transport","railway","ref","religion","route","service","shop","sport","surface","toll","tourism","tower:type","tracktype","tunnel","water","waterway","wetland","width","wood","z_order","way_area","way"
"1",280803373,"DingoKG","6318104","4","55745568","2018-01-25T16:14:03Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Milima Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"0102000020110F0000070000007B14AE8735314F417B14AE47EBA202C18FC2F5482E314F416666666692A202C1F6285C2F16314F411F85EB51DAA002C1713D0AB708314F411F85EB5116A002C1C3F528FC03314F4133333333AD9F02C100000040FE304F4152B81E85519F02C13D0AD783F8304F418FC2F528E29E02C1"
"2",555757104,"DingoKG","6318104","1","55745568","2018-01-25T16:14:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"0102000020110F000008000000B81E858B4C314F41F6285C8F64A102C1333333F348314F41713D0AD7D7A002C1C3F5289C41314F416666666662A002C1666666C63C314F41D7A3703DBA9F02C13D0AD7C336314F4148E17A14029F02C1295C8FC22F314F41C3F5285CA79E02C1CDCCCC6C29314F410AD7A3709F9E02C1A4703D6A1D314F4148E17A14BA9E02C1"
"3",555714700,"DingoKG","6318104","1","55740267","2018-01-25T13:04:14Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Laibon Lane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"0102000020110F00000300000085EB5118AC304F410AD7A370CD7E02C10000006089304F41295C8FC2279302C10AD7A3F0F22F4F41B81E85EB919402C1"
"4",555757100,"DingoKG","6318104","1","55745568","2018-01-25T16:14:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"0102000020110F000003000000CDCCCC2C2C324F4152B81E85E39D02C185EB51982D324F41F6285C8FA49C02C11F85EB712B324F410AD7A3707B9B02C1"
"5",100347897,"DingoKG","6318104","5","55745568","2018-01-25T16:14:02Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chui lane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"0102000020110F0000030000009A9999D91A334F4100000000EAAA02C11F85EBF167324F4152B81E850FA602C1AE47E1BA2F324F4148E17A14DEA502C1"
"6",100347907,"Mark Davies1664","1702867","2","26089240","2014-10-15T08:03:57Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"0102000020110F0000030000001F85EBF167324F4152B81E850FA602C1A4703D0A6B324F4148E17A14CCA502C1666666A6F3324F41713D0AD73BA402C1"
"7",232142008,"DingoKG","6318104","4","55745568","2018-01-25T16:14:02Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lamwia Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"0102000020110F0000090000007B14AE8735314F417B14AE47EBA202C1B81E858B4C314F41F6285C8F64A102C1CDCCCC8C62314F41A4703D0AEF9F02C17B14AEE77C314F410AD7A3703F9F02C1F6285CAFE4314F415C8FC2F54A9E02C1CDCCCC2C2C324F4152B81E85E39D02C15C8FC23561334F4100000000709B02C1B81E85AB42344F41666666660E9A02C152B81E05E3344F41CDCCCCCCC89802C1"
"8",555757102,"DingoKG","6318104","1","55745568","2018-01-25T16:14:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"0102000020110F000003000000C3F528DC61334F4166666666809D02C1D7A3705D38334F415C8FC2F5C89D02C1713D0A7737334F4133333333BF9E02C1"
"9",100347910,"DingoKG","6318104","6","55745568","2018-01-25T16:14:02Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,"residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Twiga Hill Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"0102000020110F000004000000000000205D334F4148E17A147C8E02C15C8FC23561334F4100000000709B02C1C3F528DC61334F4166666666809D02C11F85EB1166334F4166666666D8AA02C1"
"10",555757107,"DingoKG","6318104","1","55745568","2018-01-25T16:14:01Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"residential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Green Lane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"0102000020110F00000400000048E17A1447324F41AE47E17AA49002C1C3F5287C4D324F410AD7A370879302C114AE478152324F4114AE47E1CA9502C16666660650324F4152B81E85839602C1"
