"","osm_id","osm_user","osm_uid","osm_version","osm_changeset","osm_timestamp","access","addr:housename","addr:housenumber","addr:place","addr:city","addr:country","addr:interpolation","admin_level","aerialway","aeroway","amenity","area","barrier","bicycle","brand","bridge","boundary","building","capital","construction","covered","culvert","cutting","denomination","disused","ele","embankment","foot","generator:source","harbour","highway","historic","horse","intermittent","junction","landuse","layer","leisure","lock","man_made","military","motorcar","name","natural","office","oneway","operator","place","population","power","power_source","public_transport","railway","ref","religion","route","service","shop","sport","surface","toll","tourism","tower:type","tunnel","water","waterway","wetland","width","wood","z_order","way"
"1",4835284824,"Jopparn","302013","1","48403056","2017-05-04T18:56:18Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"picnic_site",NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F00007B14AE87EB564F4100000000183303C1"
"2",4835284823,"Jopparn","302013","1","48403056","2017-05-04T18:56:15Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"toilets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F00007B14AEE704574F41CDCCCCCCA42F03C1"
"3",5361482493,"DingoKG","6318104","1","55745568","2018-01-25T16:13:54Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"place_of_worship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pedro Arrupe Jesuit Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F000033333393F92F4F4185EB51B83A8602C1"
"4",5361482492,"DingoKG","6318104","1","55745568","2018-01-25T16:13:54Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"place_of_worship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mwangaza Jesuit Centre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F00003D0AD7E320304F4185EB51B8088402C1"
"5",1652494641,"HulkKE","605229","1","10825036","2012-02-29T05:56:33Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cemetery",NA,NA,NA,NA,NA,NA,"KAREN Site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F00009A999979E4314F41C3F5285CF3A102C1"
"6",5361484370,"DingoKG","6318104","1","55745568","2018-01-25T16:13:58Z",NA,NA,"121 Lamwia Road, Karen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eshel Garden Guest House",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"guest_house",NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F0000713D0A1756324F4166666666009F02C1"
"7",5361484366,"DingoKG","6318104","1","55745568","2018-01-25T16:13:58Z",NA,NA,"Chui Ln, Nairobi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fremin Cottages",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chalet",NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F000052B81E05A3324F415C8FC2F51EA402C1"
"8",5360981064,"DingoKG","6318104","1","55740267","2018-01-25T13:04:14Z",NA,NA,"Gate 4, Left, Ushirika Rd, Nairobi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Synthesis House",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F0000CDCCCC2C26324F41D7A3703D5A8A02C1"
"9",5360981057,"DingoKG","6318104","1","55740267","2018-01-25T13:04:14Z",NA,NA,"Masai West Road, 25, Karen Hardy Area, P.O.Box 15026, Nairobi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Blue Safari Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hotel",NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F0000AE47E1FA6E324F4114AE47E1748502C1"
"10",5360981065,"DingoKG","6318104","1","55740267","2018-01-25T13:04:14Z",NA,NA,"133, Ushirika Rd, Nairobi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Passionist Retreat House",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hotel",NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F0000713D0A7726334F4152B81E85199002C1"
"11",5360981058,"DingoKG","6318104","1","55740267","2018-01-25T13:04:14Z",NA,NA,"P. O. Box 15088, Nairobi",NA,NA,NA,NA,NA,NA,NA,"place_of_worship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carmelite Missionaries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"catholic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0101000020110F0000333333B3C3324F41C3F5285C5B8802C1"
